id,name,slug,city,province,state,country,rating,picture
616,"VCA Canada Tuscany Animal Hospital","canada/alberta/calgary/vca-canada-tuscany-animal-hospital/","Calgary","Alberta","","Canada",4.6,"https://lh5.googleusercontent.com/p/AF1QipM0lDvNCfmIHDYScbnawImkkPQyqpMsxXK_l6vU"
613,"Springbank Pet Hospital","canada/alberta/calgary/springbank-pet-hospital/","Calgary","Alberta","","Canada",4.9,"https://lh5.googleusercontent.com/p/AF1QipNeYXHb4Q2yxH-HiCVNZy_ZtBZt19qTJ248C5WI"
2039,"North Kipling Veterinary Hospital","canada/ontario/toronto/north-kipling-veterinary-hospital/","Toronto","Ontario","","Canada",4.6,"https://lh5.googleusercontent.com/p/AF1QipP-IDdKMpwBD_7EQ-j90aJXzJoFJZ2gP15dWjM3"
1,"Richardson Ranch","canada/british-columbia/tlell/richardson-ranch/","Tlell","British Columbia","","Canada",4.6,"https://lh5.googleusercontent.com/p/AF1QipMo1M3pskRC21o6rS3VGmWTEeYhyEJT-LNhoImx"
9,"North Island Veterinary Hospital","canada/british-columbia/port-hardy/north-island-veterinary-hospital/","Port Hardy","British Columbia","","Canada",4.5,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TwajEFGQx7zxr6dX-zFkOg&cb_client=search.gws-prod.gps&w=422&h=240&yaw=270.92123&pitch=0&thumbfov=100"
2090,"Junction West Animal Hospital","canada/ontario/toronto/junction-west-animal-hospital/","Toronto","Ontario","","Canada",4.2,"https://lh5.googleusercontent.com/p/AF1QipMtJYs352JwIx40Vi40KEpv_3CHeWuf9AEz1B8L"
2597,"North Lanark Veterinary Services","canada/ontario/lanark/north-lanark-veterinary-services/","Lanark","Ontario","","Canada",4.8,"https://lh5.googleusercontent.com/p/AF1QipNyWiR_FfDCVmyfoRbrvBtq7xsmN5vk0rnWm-47"
14,"Babine Animal Hospital","canada/british-columbia/smithers/babine-animal-hospital/","Smithers","British Columbia","","Canada",4.8,"https://lh5.googleusercontent.com/p/AF1QipN3Qi_ex1dnirxNYFkOZwJMb46NgHReYLFYOIfu"
21,"Coastland Veterinary Hospital","canada/british-columbia/campbell-river/coastland-veterinary-hospital/","Campbell River","British Columbia","","Canada",4.7,"https://lh5.googleusercontent.com/p/AF1QipP6iTN2wK1KE8tXsacOd2TZhMn5_WgFOND0JGsH"
27,"Cumberland Veterinary Clinic","canada/british-columbia/cumberland/cumberland-veterinary-clinic/","Cumberland","British Columbia","","Canada",4.8,"https://lh5.googleusercontent.com/p/AF1QipOblq-FhpIyqSXoXrsnHWw7Df2l4iHa2o-WQj20"